sample_id,Donor,Study,consensus_label_6votes,n_cells
Henrik_Lilljebjorn_AML123_LSPC,Henrik_Lilljebjorn_AML123,Henrik,LSPC,18
Henrik_Lilljebjorn_AML136_HSPC,Henrik_Lilljebjorn_AML136,Henrik,HSPC,414
Henrik_Lilljebjorn_AML136_LSPC,Henrik_Lilljebjorn_AML136,Henrik,LSPC,123
Henrik_Lilljebjorn_AML138_HSPC,Henrik_Lilljebjorn_AML138,Henrik,HSPC,49
Henrik_Lilljebjorn_AML138_LSPC,Henrik_Lilljebjorn_AML138,Henrik,LSPC,59
Henrik_Lilljebjorn_AML155_HSPC,Henrik_Lilljebjorn_AML155,Henrik,HSPC,46
Henrik_Lilljebjorn_AML155_LSPC,Henrik_Lilljebjorn_AML155,Henrik,LSPC,41
Henrik_Lilljebjorn_AML157_HSPC,Henrik_Lilljebjorn_AML157,Henrik,HSPC,58
Henrik_Lilljebjorn_AML157_LSPC,Henrik_Lilljebjorn_AML157,Henrik,LSPC,23
Henrik_Lilljebjorn_AML161_HSPC,Henrik_Lilljebjorn_AML161,Henrik,HSPC,22
Henrik_Lilljebjorn_AML161_LSPC,Henrik_Lilljebjorn_AML161,Henrik,LSPC,253
Henrik_Lilljebjorn_AML172_HSPC,Henrik_Lilljebjorn_AML172,Henrik,HSPC,14
Henrik_Lilljebjorn_AML172_LSPC,Henrik_Lilljebjorn_AML172,Henrik,LSPC,180
Naldini_PT01_HSPC,Naldini_PT01,Naldini,HSPC,141
Naldini_PT01_LSPC,Naldini_PT01,Naldini,LSPC,503
Naldini_PT02_HSPC,Naldini_PT02,Naldini,HSPC,39
Naldini_PT02_LSPC,Naldini_PT02,Naldini,LSPC,44
Naldini_PT06_HSPC,Naldini_PT06,Naldini,HSPC,1583
Naldini_PT06_LSPC,Naldini_PT06,Naldini,LSPC,29
Naldini_PT07_HSPC,Naldini_PT07,Naldini,HSPC,360
Naldini_PT07_LSPC,Naldini_PT07,Naldini,LSPC,16
Naldini_PT08_HSPC,Naldini_PT08,Naldini,HSPC,90
Naldini_PT08_LSPC,Naldini_PT08,Naldini,LSPC,56
Naldini_PT10_HSPC,Naldini_PT10,Naldini,HSPC,31
Naldini_PT10_LSPC,Naldini_PT10,Naldini,LSPC,22
Naldini_PT12_HSPC,Naldini_PT12,Naldini,HSPC,190
Naldini_PT12_LSPC,Naldini_PT12,Naldini,LSPC,41
Naldini_PT15_HSPC,Naldini_PT15,Naldini,HSPC,106
Naldini_PT15_LSPC,Naldini_PT15,Naldini,LSPC,120
Petti_Petti_809653_HSPC,Petti_Petti_809653,Petti,HSPC,26
Petti_Petti_809653_LSPC,Petti_Petti_809653,Petti,LSPC,119
vanGalen_AML328_HSPC,vanGalen_AML328,vanGalen,HSPC,72
vanGalen_AML328_LSPC,vanGalen_AML328,vanGalen,LSPC,1020
vanGalen_AML707B_HSPC,vanGalen_AML707B,vanGalen,HSPC,33
vanGalen_AML707B_LSPC,vanGalen_AML707B,vanGalen,LSPC,116
vanGalen_AML916_HSPC,vanGalen_AML916,vanGalen,HSPC,18
vanGalen_AML916_LSPC,vanGalen_AML916,vanGalen,LSPC,233
