gene1,gene2,gene1_coef,gene2_coef,interaction_coef,gene1_pval,gene2_pval,interaction_pval,roc_auc,aic,bic,model_type,converged,lspc_coverage,hspc_coverage,specificity_ratio,lspc_n_both,hspc_n_both,mean_gene1_lspc,mean_gene1_hspc,mean_gene2_lspc,mean_gene2_hspc,corr_gene1_gene2_lspc,corr_gene1_gene2_hspc,anchor_lspc_coverage,anchor_specificity,efficacy_retention,specificity_gain,interaction_qval
CD9,PTGES3,0.138741931,0.051370788,0.011739731,0.007160707,0.310319923,0.017130564,0.707195429,27696.1757,27728.17289,logit_clustered,TRUE,0.334174536,0.083376169,4.003232758,4105,811,2.857378079,0.822388347,6.233271163,5.265089118,0.126637848,0.023081767,0.381878867,3.35027084,0.872794413,0.652961918,0.06540761
EMB,CTSD,0.248003015,-0.019047324,0.008258211,7.58E-18,0.676354486,0.003618598,0.732908014,25469.24484,25501.24203,logit_clustered,TRUE,0.333848909,0.089955793,3.707134183,4101,875,4.532162607,1.184995235,3.706205594,3.416407642,0.104895531,0.02233376,0.597036796,3.526617899,0.558241418,0.180516284,0.018997638
CD9,EMP3,0.073365724,-0.026327325,0.02278923,0.225375795,0.585986829,0.000711058,0.638020161,27743.42253,27775.41972,logit_clustered,TRUE,0.333034842,0.079983551,4.158592347,4091,778,2.857378079,0.822388347,5.746702866,5.270247004,0.301022736,0.025657102,0.381878867,3.35027084,0.86981777,0.808321507,0.004266346
EMB,SSR3,0.259567077,0.043599485,0.004071245,3.26E-19,0.179169334,0.143584333,0.751967101,25351.71809,25383.71528,logit_clustered,TRUE,0.332057962,0.079161098,4.189419148,4079,770,4.532162607,1.184995235,3.691533138,2.729234223,0.088895346,0.052048467,0.597036796,3.526617899,0.555246707,0.662801249,0.271425689
EMB,MYH9,0.271973857,-0.005427525,0.001543066,3.66E-19,0.909002235,0.634527801,0.730504399,25513.18445,25545.18164,logit_clustered,TRUE,0.326603712,0.097769096,3.337148542,4012,951,4.532162607,1.184995235,3.731233028,3.488427295,0.067099293,0.064895803,0.597036796,3.526617899,0.54612645,-0.189469357,0.701717669
CD9,CD63,0.12871427,-0.0172495,0.01444835,0.016274143,0.696544268,0.005675668,0.625617325,27908.05848,27940.05567,logit_clustered,TRUE,0.320661022,0.083273363,3.846084789,3939,810,2.857378079,0.822388347,5.514283536,5.135686973,0.238521553,0.048525393,0.381878867,3.35027084,0.837499926,0.495813949,0.023837806
EMB,BSG,0.258421369,-0.040967676,0.005579154,1.29E-19,0.225838536,0.027087171,0.740293533,25446.1921,25478.18929,logit_clustered,TRUE,0.319928362,0.099311196,3.218232715,3930,966,4.532162607,1.184995235,3.627328029,3.844781452,0.046831474,0.016261148,0.597036796,3.526617899,0.534964344,-0.308385184,0.075844079
CD9,CD47,0.133438721,0.137353477,0.015660321,0.005637738,9.47E-08,0.000134306,0.750330422,26250.49106,26282.48825,logit_clustered,TRUE,0.313415825,0.049655598,6.299106818,3850,483,2.857378079,0.822388347,5.571593555,3.257669768,0.133951891,-0.020907988,0.381878867,3.35027084,0.818576977,2.948835978,0.001410216
IL2RG,PLP2,0.17535456,0.114208129,0.002255457,1.34E-06,0.03028741,0.620283382,0.713515973,27047.50307,27079.50026,logit_clustered,TRUE,0.310403777,0.08275933,3.746153612,3813,805,3.261412538,1.123242941,4.441815716,2.50549104,0.165290961,0.126469344,0.445131879,2.71337001,0.695766862,1.032783602,0.701717669
EMB,M6PR,0.257617629,0.020718623,0.005757479,5.04E-21,0.592053575,0.031696922,0.743936606,25433.78686,25465.78405,logit_clustered,TRUE,0.309426897,0.075254446,4.106285848,3801,732,4.532162607,1.184995235,3.402661771,2.760284587,0.070132878,0.027670415,0.597036796,3.526617899,0.517404446,0.579667949,0.083204421
EMB,ACTN4,0.264005164,0.033292895,0.003211212,9.43E-21,0.405101616,0.338839942,0.748032275,25419.54364,25451.54083,logit_clustered,TRUE,0.30885705,0.077207772,3.995161691,3794,751,4.532162607,1.184995235,3.411802313,2.61918242,0.081301792,0.058852011,0.597036796,3.526617899,0.516451583,0.468543792,0.45907347
EMB,RALY,0.264279498,-0.018874274,0.003960717,3.43E-21,0.691493127,0.163574876,0.733739673,25498.81394,25530.81113,logit_clustered,TRUE,0.306252035,0.092731572,3.299007319,3762,902,4.532162607,1.184995235,3.506041869,3.521227345,0.024111312,0.019306895,0.597036796,3.526617899,0.512095639,-0.22761058,0.271425689
EMB,TM9SF2,0.257997234,0.092150112,0.005081389,1.15E-20,0.001467407,0.021739173,0.76252092,24958.30236,24990.29955,logit_clustered,TRUE,0.304379681,0.053459443,5.683025533,3739,520,4.532162607,1.184995235,3.372308406,1.931655353,0.07732553,0.025430669,0.597036796,3.526617899,0.508964805,2.156407634,0.072340338
EMB,PTTG1IP,0.273625657,0.02123134,0.000911653,1.04E-17,0.567888627,0.745830315,0.747126528,25483.5155,25515.51269,logit_clustered,TRUE,0.300553566,0.084095816,3.569697174,3692,818,4.532162607,1.184995235,3.552262154,3.138881916,0.022838057,0.027575446,0.597036796,3.526617899,0.502567012,0.043079275,0.764021298
CD9,SPN,0.186599075,0.091146655,0.005245136,0.000220495,1.53E-05,0.067943124,0.717122737,27365.2526,27397.24979,logit_clustered,TRUE,0.300227939,0.067646756,4.431620856,3688,658,2.857378079,0.822388347,5.780523292,4.433221907,0.029893389,-0.006060136,0.381878867,3.35027084,0.784132959,1.081350016,0.155752388
