model,LSPC_recall,LSPC_precision,accuracy
CellTypist,0.8785249457700651,0.9351548970559939,0.8492229527794382
RandomForest,0.9441431670281996,0.9132715509704494,0.8797071129707112
SVM,0.9454085321764281,0.9271405779117178,0.8934548714883442
XGBoost,0.8674981923355025,0.9382209188660802,0.8432456664674238
LightGBM,0.8660520607375272,0.9418124631413407,0.845038852361028
MLP,0.8517715112075199,0.9393939393939394,0.8320382546323969
scANVI,0.8396601590744758,0.9391427416093813,0.8224745965331739
