baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene
6.08324451,0.524178965,0.214500381,2.443720443,0.014536686,0.108549644,NR1H3
8.289460989,0.522954241,0.291055594,1.796750351,0.072375262,0.276005761,ANPEP
5.77145902,0.521148621,0.315153953,1.653631869,0.098202333,0.333966416,NR6A1
7.593793263,0.519108818,0.430772176,1.205065802,0.2281779,0.507721901,HGF
2.416971375,0.516785158,0.251782724,2.05250444,0.040120664,0.195465918,C12orf49
4.521752181,0.508792069,0.216111935,2.354298797,0.018557687,0.124821116,SLC35A5
4.703840717,0.508372039,0.240273644,2.115804429,0.034361444,0.18303196,MOSPD2
10.68897361,0.508336888,0.269331131,1.887404868,0.059105891,0.247254486,SLC16A3
35.40859741,0.508171122,0.231816772,2.192124054,0.02837055,0.164360632,FLNA
7.401103218,0.500856269,0.262246916,1.90986524,0.056150567,0.241090944,SLC39A4
9.11950498,0.499604537,0.176357767,2.832903511,0.004612731,0.046228483,TMEM87B
2.495346683,0.497995036,0.310865843,1.601961254,0.109164178,0.355203025,GPR146
236.1874529,0.4889977,0.130120506,3.758037188,0.000171251,0.004718272,PFN1
16.01166676,0.484365195,0.208763817,2.320158745,0.020332291,0.135379174,IL6R
5.641629222,0.481175317,0.234156509,2.054930347,0.039885733,0.195465918,SLC15A4
5.631443148,0.479290149,0.32569017,1.471613799,0.141125197,0.399197514,VANGL1
3.059532211,0.479092593,0.603182882,0.794274187,0.427035828,0.694686535,PIEZO2
6.367221257,0.475891526,0.166931358,2.850821638,0.004360642,0.044942279,CLPTM1
3.134162632,0.475532282,0.324433204,1.465732473,0.142721184,0.399905047,RHBDF2
10.32686601,0.473723325,0.226114574,2.095058789,0.036165767,0.188831044,CBR1
3.154495449,0.471443467,0.403213295,1.169216079,0.242316585,0.521167526,TNFRSF25
3.661408199,0.469600892,0.318456428,1.474615836,0.140315855,0.399197514,IL4R
6.875974325,0.460721549,0.16714718,2.756382421,0.005844462,0.053065059,GLB1
1.801618015,0.458789112,0.399395216,1.148709584,0.250675753,0.523725268,IL17RE
3.286186518,0.455918605,0.43708652,1.043085485,0.296908703,0.56889701,ANGPT2
4.64680848,0.452830929,0.409872208,1.104810037,0.26924191,0.543243148,CSF2RA
