Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Hematopoietic cell lineage,0.3678239440689391,1.2872749668074464,0.12790697674418605,0.2378495101068466,1.0,10/30,24.08%,IL3RA;CD9;IL2RA;CD36;CD33;CSF1R;CD7;ANPEP;CD3D;IL6R
prerank,Dopaminergic synapse,0.31392571394315355,1.2863789179467116,0.098,0.23611291130104176,1.0,19/64,17.62%,GNG5;GNAI2;PPP1CA;COMT;GNB1;GNB2;CALM2;PPP2CB;MAPK9;GNB4;CALM1;GNAS;AKT1;CALM3;PPP1CC;GNAI3;KIF5B;ARRB2;PPP2R5A
prerank,Pathways in cancer,0.252147740302898,1.2852456930965257,0.01953125,0.23481404008527285,1.0,55/249,15.70%,RHOA;TPM3;SPI1;RBX1;GNG5;GNAI2;RAC2;CDC42;MGST3;RALB;RALA;IL3RA;BAX;GNB1;HDAC1;APPL1;RAC1;IL2RA;KRAS;GSTO1;NCOA4;RALBP1;GNB2;IL2RG;MAPK1;CALM2;MYC;ROCK2;GSTP1;MAPK9;FADD;BID;TGFB1;MAP2K2;GNB4;JUP;CCNA1;CALM1;IFNGR2;NRAS;GNAS;TFG;MAX;TXNRD1;AKT1;BAK1;CALM3;FH;IL12RB1;CSF1R;MSH2;SMAD2;CEBPA;RASGRP4;GNAI3
prerank,Influenza A,0.28424565391883344,1.2791451162780456,0.07372400756143667,0.24096802354394284,1.0,33/106,21.99%,PYCARD;VDAC1;TNFRSF1A;ACTG1;BAX;SLC25A6;SLC25A5;CCL5;CALCOCO2;EIF2S1;TPSAB1;MAPK1;OAS1;MYD88;FADD;BID;MAP2K2;FDPS;IFNGR2;RAB11A;AKT1;BAK1;IL18;OAS2;TRADD;IFNAR1;MAVS;NXT2;FAS;IFNGR1;PIK3CA;JAK1;IKBKG
prerank,Prostate cancer,-0.318362192223064,-1.2778728413058034,0.10748560460652591,0.45363880764106246,1.0,23/55,26.88%,TCF7;BRAF;NFKBIA;RAF1;TCF7L2;EP300;PIK3R1;FOXO1;AKT2;ERG;AKT3;ATF4;CREBBP;CTNNB1;CREB5;PIK3CB;CREB3L2;MDM2;BCL2;E2F3;PDPK1;SOS2;CHUK
prerank,Prolactin signaling pathway,-0.33706856268585317,-1.2719092537517804,0.1276595744680851,0.4500231889085377,1.0,16/42,24.01%,FOS;STAT3;FOXO3;RAF1;SOCS3;PIK3R1;JAK2;SOCS4;AKT2;IRF1;STAT5B;AKT3;PIK3CB;SOCS1;SOCS6;MAPK14
prerank,HIF-1 signaling pathway,0.31438727951599305,1.2634913089519093,0.11259541984732824,0.26036346987762193,1.0,14/57,13.83%,RBX1;PFKP;TIMP1;EIF4E2;PDHA1;PDHB;ENO1;MAPK1;EIF4EBP1;MAP2K2;HK1;LDHB;IFNGR2;AKT1
prerank,Th1 and Th2 cell differentiation,-0.31790990773644145,-1.257674293836994,0.12114989733059549,0.46731997803023734,1.0,9/50,12.36%,JUN;FOS;NFKBIB;NFKBIA;IL12A;MAML3;JAK2;MAML2;NOTCH1
prerank,Homologous recombination,-0.3602988929361729,-1.2576559762144177,0.16432865731462926,0.4486271789090278,1.0,14/27,27.36%,BRCA2;RAD52;BARD1;TOP3A;BRCA1;POLD1;RAD51B;BLM;UIMC1;POLD2;TOP3B;ATM;MUS81;POLD3
prerank,Transcriptional misregulation in cancer,-0.28316721751286306,-1.2574261302153293,0.09603340292275574,0.43182591409111226,1.0,37/99,27.55%,NFKBIZ;FUS;GADD45B;DDIT3;REL;MEIS1;JMJD1C;CEBPB;DDX5;SIN3A;KDM6A;MLLT3;ETV6;PER2;FUT8;FOXO1;NCOR1;CCNT2;CCNT1;ZBTB17;ERG;RXRB;ASPSCR1;AFF1;GADD45A;DOT1L;EWSR1;BIRC3;MDM2;ATM;TFE3;KMT2A;BCL2A1;FLI1;ID2;RXRA;TGFBR2
