gene,lspc_pct,hspc_pct,log2FC,padj
TYROBP,72.33800065125367,18.926698879407834,2.0504529685409905,1.932984924845972e-09
CD96,27.9469228264409,1.0589081936876734,1.757996565697742,0.0220741076844556
S100A10,43.70726147834581,28.48771460882081,1.6824782137506562,1.7471371956203585e-07
CD9,38.18788668186259,11.29844762002673,1.2265169273856578,0.0023181322685182
FCER1G,26.872354281992838,7.371234707515164,1.2192767647606353,0.00403810324779
IL1RAP,31.773038098339303,10.157294129741956,1.02847665360185,0.0211101006525589
PLP2,58.83262780853142,35.468284157499745,1.0246929625036998,0.000211535848572
IL3RA,33.46629762292413,11.833042047907885,0.951116712663883,8.763595151586896e-05
VIM,89.62064474112667,80.15832219594942,0.8776647064425617,0.00403810324779
HCST,65.81732334744383,32.03454302457078,0.8668940300841621,0.006347302735132
TIMP1,52.92250081406708,28.82697645728385,0.7732467503059949,0.0049759352040964
ANXA1,83.14881146206447,62.16716356533361,0.7506380194139955,0.0484947525987226
IL2RG,44.51318788668186,16.305130050375244,0.732693556737273,0.0271381913485232
EMP3,70.35981764897427,68.28415749974299,0.7241213236752567,0.0103623045848018
CYBA,80.75545424943016,58.918474349748124,0.7118160684062702,0.0049963128294418
TAGLN2,88.04135460761967,83.7051506116994,0.7066497865666752,6.415071932845204e-06
CD99,89.77531748616086,78.35920633288784,0.6904751271274174,0.0011355321268775
EMB,59.703679583197655,16.82944381618176,0.6629985596029221,0.0484947525987226
S1PR4,27.57245197004233,15.51351907062815,0.6190603766896802,0.0313238059126889
CTSC,60.485183979159885,40.74226380178884,0.5834494546665498,0.023238786260885
CTSA,36.144578313253014,24.046468592577362,0.5727012006454101,0.0313238059126889
CAPNS1,43.14555519374797,22.524930605530997,0.5592793257852854,0.0015582678672749
VDAC1,49.86160859654836,34.40937596381207,0.5469603751875034,0.0011355321268775
CD63,69.96906545099316,68.3149994859669,0.5368291423664099,0.0012347040891019
EZR,29.648323021817,33.453274390870774,0.5344557090600519,0.0462284825856442
SLC9A3R1,41.6151090849886,35.416880847126556,0.5275682408444277,0.0104167913245932
TGFB1,53.80983393031586,34.67667317775265,0.5243071940906204,0.0319877321620164
