gene,lspc_pct,hspc_pct,log2FC,padj
A2M,0.48029957668511886,0.17477125526883933,,
A4GALT,2.6050146532074243,0.1644905931942017,,
AARS,7.977857375447737,11.133957026832528,-0.190758830228248,0.6952784241222658
ABCA1,6.602084011722566,19.553819265960726,-0.4360711690218951,0.3913241787635191
ABCA13,0.5291436014327581,0.5654364141050684,,
ABCA2,6.805600781504396,9.396525136218772,-0.1723861810896446,0.7426826299629435
ABCA3,0.8140670791273201,0.7402076693739077,,
ABCA5,5.893845652881797,6.9188855762311094,-0.7621497997073423,0.039699777985496
ABCA6,0.6919570172582221,0.20561324149275215,,
ABCA7,5.665906870726148,4.101984167780405,-0.5164606035623811,0.4036768681258835
ABCA9,0.9117551286225986,0.09252595867173846,,
ABCB1,3.8586779550634973,19.913642438573046,,
ABCB4,0.12211006186909801,0.18505191734347692,,
ABCB9,2.189840442852491,2.066413077002159,,
ABCC1,29.22500814067079,20.83890202529043,-0.1299682556644552,0.7208940709819386
ABCC10,4.005210029306415,3.505705767451424,,
ABCC11,0.1302507326603712,0.21589390356738974,,
ABCC2,0.5210029306414848,0.2775778760152154,,
ABCC3,0.22793878215564964,0.06168397244782564,,
ABCC4,10.314229892543146,11.699393440937596,-0.0580683719368943,0.931669701220502
ABCC5,8.16509280364702,6.332887837976766,-0.0906958892253693,0.8612439322353802
ABCG2,0.22793878215564964,0.2775778760152154,,
ABI3BP,0.4721589058938456,1.2953634214043384,,
ACAA1,30.03907521979811,21.095918577156368,0.0899364224446871,0.7208940709819386
ACE,3.402800390752198,1.6140639457181043,,
ACHE,0.11396939107782482,0.4626297933586923,,
ACKR2,0.19537609899055683,0.09252595867173846,,
ACKR3,1.0420058612829697,0.6374010486275317,,
ACKR4,0.48029957668511886,0.13364860697028888,,
ACP2,6.3904265711494626,6.014187313663,0.2292280797783542,0.6975215377547986
ACTB,96.23901009443178,96.59710085329495,,
ACTN1,19.70856398567242,23.71748740618896,0.0561040860300367,0.9304705492678093
ACTN4,46.92282644089873,37.51413591035263,0.2353533318503355,0.3903687951422263
ACVR1,7.717355910126995,4.472088002467359,-0.2331495295581007,0.6481254446813142
ACVR1B,3.850537284272224,3.8244062917651895,,
ACVR1C,0.35818951481602085,0.4729104554333299,,
