gene_pair,lspc_mean,lspc_std,hspc_mean,hspc_std
CD9,36.72932957141491,24.14249724757715,12.445636159805007,10.860608441767964
CD9+CD47,25.99312306383687,20.278238261962834,5.572128140577033,6.727123234031583
CD9+CD99,34.698108174000616,24.198337921999748,10.055413351470529,9.810077974720613
EMB,40.25081226648112,19.30087038166607,19.16931946027108,12.118630748852947
EMB+CD47,27.30553879589873,16.35113482520912,9.137473418309348,7.964676684603881
EMB+HCST,27.157959583409212,17.198424882423993,7.846198780330951,7.1811184996665425
