donor,EMB_lspc_coverage,EMB_hspc_coverage,EMB_therapeutic_window,coexpr_lspc_coverage,coexpr_hspc_coverage,coexpr_therapeutic_window,n_lspc,n_hspc
Henrik_Lilljebjorn_AML136,44.79166666666667,41.02564102564102,3.7660256410256494,21.875,16.666666666666664,5.208333333333336,96,78
Henrik_Lilljebjorn_AML155,48.38709677419355,29.629629629629626,18.757467144563925,9.67741935483871,3.7037037037037033,5.973715651135007,31,27
Henrik_Lilljebjorn_AML157,0.0,0.0,0.0,0.0,0.0,0.0,22,47
Henrik_Lilljebjorn_AML21,30.508474576271187,11.235955056179774,19.272519520091414,16.94915254237288,5.617977528089887,11.33117501428299,59,89
Henrik_Lilljebjorn_AML28,54.268292682926834,15.789473684210526,38.47881899871631,46.34146341463415,10.526315789473683,35.81514762516046,164,38
Henrik_Lilljebjorn_AML32,33.70786516853933,19.230769230769234,14.477095937770095,14.606741573033707,0.0,14.606741573033707,89,26
Henrik_Lilljebjorn_AML48,14.285714285714285,7.2727272727272725,7.012987012987012,14.285714285714285,5.454545454545454,8.831168831168831,28,55
Henrik_Lilljebjorn_AML80,17.21311475409836,4.761904761904762,12.451209992193597,15.573770491803279,0.0,15.573770491803279,122,21
Petti_Petti_809653,21.84873949579832,4.166666666666666,17.682072829131656,19.327731092436977,0.0,19.327731092436977,119,24
Ennis_Ennis_AML1216,31.57894736842105,18.64406779661017,12.934879571810882,23.684210526315788,9.200968523002421,14.483242003313366,114,413
Ennis_Ennis_AML1886,66.4576802507837,27.86885245901639,38.5888277917673,59.87460815047022,18.0327868852459,41.841821265224326,638,61
Ennis_Ennis_AML3904,47.93187347931874,38.20224719101123,9.729626288307507,36.25304136253041,26.40449438202247,9.84854698050794,411,178
Ennis_Ennis_AML40389,51.85185185185185,7.6923076923076925,44.159544159544154,37.03703703703704,3.8461538461538463,33.19088319088319,27,52
Ennis_Ennis_AML5750,37.142857142857146,11.11111111111111,26.031746031746035,22.857142857142858,8.333333333333332,14.523809523809526,35,36
Ennis_Ennis_AML6323,46.35761589403973,18.27956989247312,28.078046001566612,32.450331125827816,7.526881720430108,24.923449405397708,151,93
Naldini_PT08,71.69811320754717,34.93975903614458,36.75835417140259,39.62264150943396,10.843373493975903,28.779268015458058,53,83
Naldini_PT12,80.48780487804879,37.03703703703704,43.45076784101175,70.73170731707317,21.693121693121693,49.03858562395148,41,189
Naldini_PT15,50.427350427350426,21.153846153846153,29.273504273504273,17.094017094017094,0.0,17.094017094017094,117,52
Naldini_PT01,63.37448559670782,26.666666666666668,36.70781893004116,43.20987654320987,13.333333333333334,29.876543209876537,486,135
Naldini_PT06,50.0,6.695778748180495,43.304221251819506,29.166666666666668,1.5283842794759825,27.638282387190685,24,1374
Naldini_PT02,41.46341463414634,26.666666666666668,14.796747967479671,21.951219512195124,16.666666666666664,5.284552845528459,41,30
vanGalen_AML328,56.33367662203913,27.083333333333332,29.250343288705796,42.94541709577755,14.583333333333334,28.362083762444215,971,48
vanGalen_AML707B,19.26605504587156,20.0,-0.7339449541284395,6.422018348623854,10.0,-3.577981651376146,109,20
Guo_Guo_PT23A,30.0,32.19178082191781,-2.19178082191781,25.0,16.43835616438356,8.56164383561644,40,146
Guo_Guo_PT27A,17.5,14.741318214032601,2.758681785967399,17.5,8.504606661941885,8.995393338058115,40,1411
Guo_Guo_PT28A,37.03703703703704,4.824561403508771,32.212475633528264,29.629629629629626,2.631578947368421,26.998050682261205,81,228
Guo_Guo_PT29A,59.4059405940594,39.62264150943396,19.78329908462544,51.48514851485149,28.930817610062892,22.554330904788596,101,159
Abbas_Abbas_PT4A,38.88888888888889,7.6923076923076925,31.1965811965812,25.0,0.9615384615384616,24.03846153846154,36,104
Abbas_Abbas_PT5A,6.024096385542169,7.339449541284404,-1.315353155742235,3.614457831325301,4.587155963302752,-0.9726981319774515,83,109
Abbas_Abbas_PT7A,39.285714285714285,13.513513513513514,25.77220077220077,25.0,8.108108108108109,16.89189189189189,28,74
