donor,EMB_lspc_coverage,EMB_hspc_coverage,EMB_therapeutic_window,coexpr_lspc_coverage,coexpr_hspc_coverage,coexpr_therapeutic_window,n_lspc,n_hspc
Henrik_Lilljebjorn_AML136,44.79166666666667,41.02564102564102,3.7660256410256494,28.125,11.538461538461538,16.58653846153846,96,78
Henrik_Lilljebjorn_AML155,48.38709677419355,29.629629629629626,18.757467144563925,19.35483870967742,3.7037037037037033,15.651135005973718,31,27
Henrik_Lilljebjorn_AML157,0.0,0.0,0.0,0.0,0.0,0.0,22,47
Henrik_Lilljebjorn_AML21,30.508474576271187,11.235955056179774,19.272519520091414,22.033898305084744,6.741573033707865,15.292325271376878,59,89
Henrik_Lilljebjorn_AML28,54.268292682926834,15.789473684210526,38.47881899871631,15.853658536585366,2.631578947368421,13.222079589216944,164,38
Henrik_Lilljebjorn_AML32,33.70786516853933,19.230769230769234,14.477095937770095,32.58426966292135,7.6923076923076925,24.891961970613657,89,26
Henrik_Lilljebjorn_AML48,14.285714285714285,7.2727272727272725,7.012987012987012,10.714285714285714,3.6363636363636362,7.077922077922077,28,55
Henrik_Lilljebjorn_AML80,17.21311475409836,4.761904761904762,12.451209992193597,14.754098360655737,0.0,14.754098360655737,122,21
Petti_Petti_809653,21.84873949579832,4.166666666666666,17.682072829131656,19.327731092436977,0.0,19.327731092436977,119,24
Ennis_Ennis_AML1216,31.57894736842105,18.64406779661017,12.934879571810882,22.807017543859647,4.600484261501211,18.206533282358436,114,413
Ennis_Ennis_AML1886,66.4576802507837,27.86885245901639,38.5888277917673,50.626959247648905,9.836065573770492,40.790893673878415,638,61
Ennis_Ennis_AML3904,47.93187347931874,38.20224719101123,9.729626288307507,25.547445255474454,17.415730337078653,8.1317149183958,411,178
Ennis_Ennis_AML40389,51.85185185185185,7.6923076923076925,44.159544159544154,40.74074074074074,1.9230769230769231,38.81766381766382,27,52
Ennis_Ennis_AML5750,37.142857142857146,11.11111111111111,26.031746031746035,25.71428571428571,5.555555555555555,20.158730158730158,35,36
Ennis_Ennis_AML6323,46.35761589403973,18.27956989247312,28.078046001566612,17.880794701986755,4.301075268817205,13.57971943316955,151,93
Naldini_PT08,71.69811320754717,34.93975903614458,36.75835417140259,52.83018867924528,15.66265060240964,37.16753807683564,53,83
Naldini_PT12,80.48780487804879,37.03703703703704,43.45076784101175,75.60975609756098,9.523809523809524,66.08594657375146,41,189
Naldini_PT15,50.427350427350426,21.153846153846153,29.273504273504273,38.46153846153847,5.769230769230769,32.6923076923077,117,52
Naldini_PT01,63.37448559670782,26.666666666666668,36.70781893004116,58.43621399176955,12.592592592592592,45.84362139917695,486,135
Naldini_PT06,50.0,6.695778748180495,43.304221251819506,25.0,0.6550218340611353,24.344978165938866,24,1374
Naldini_PT02,41.46341463414634,26.666666666666668,14.796747967479671,36.58536585365854,20.0,16.585365853658537,41,30
vanGalen_AML328,56.33367662203913,27.083333333333332,29.250343288705796,10.401647785787848,6.25,4.151647785787848,971,48
vanGalen_AML707B,19.26605504587156,20.0,-0.7339449541284395,1.834862385321101,0.0,1.834862385321101,109,20
Guo_Guo_PT23A,30.0,32.19178082191781,-2.19178082191781,25.0,20.54794520547945,4.452054794520549,40,146
Guo_Guo_PT27A,17.5,14.741318214032601,2.758681785967399,15.0,12.473423104181432,2.526576895818568,40,1411
Guo_Guo_PT28A,37.03703703703704,4.824561403508771,32.212475633528264,22.22222222222222,2.1929824561403506,20.029239766081872,81,228
Guo_Guo_PT29A,59.4059405940594,39.62264150943396,19.78329908462544,46.53465346534654,30.18867924528302,16.345974220063518,101,159
Abbas_Abbas_PT4A,38.88888888888889,7.6923076923076925,31.1965811965812,25.0,7.6923076923076925,17.307692307692307,36,104
Abbas_Abbas_PT5A,6.024096385542169,7.339449541284404,-1.315353155742235,3.614457831325301,5.5045871559633035,-1.8901293246380027,83,109
Abbas_Abbas_PT7A,39.285714285714285,13.513513513513514,25.77220077220077,32.142857142857146,6.756756756756757,25.386100386100388,28,74
