Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,heme Metabolism,0.2432176700323914,1.134759356681541,0.195357833655706,0.28505127495693616,0.989,49/128,29.99%,UCP2;MGST3;HDGF;PGLS;ARL2BP;NCOA4;MFHAS1;NFE2;ADD1;SDCBP;SEC14L1;TMEM9B;TCEA1;SLC10A3;NFE2L1;ENDOD1;GLRX5;CAT;DCUN1D1;MPP1;LRP10;EIF2AK1;GDE1;GMPS;SLC30A1;BSG;ALDH6A1;UBAC1;VEZF1;LAMP2;RIOK3;DAAM1;UROS;HTATIP2;CDC27;BNIP3L;SNCA;ADIPOR1;NNT;MAP2K3;ATG4A;FECH;BMP2K;HAGH;CCDC28A;HEBP1;LMO2;CTNS;HBD
prerank,Wnt-beta Catenin Signaling,-0.34879086684150995,-1.1093154314555498,0.27944111776447106,0.3312668633400174,0.994,8/22,24.73%,TCF7;KAT2A;NOTCH1;FRAT1;HDAC5;CTNNB1;DVL2;NUMB
prerank,Spermatogenesis,-0.2872812794686599,-1.0883078635576424,0.3135755258126195,0.3532730481686398,0.998,16/43,28.74%,TLE4;BRAF;DBF4;SIRT1;ARL4A;MLLT10;IFT88;COIL;EZH2;IP6K1;PHF7;SPATA6;AGFG1;LPIN1;PARP2;PHKG2
prerank,Interferon Alpha Response,0.24742391399128955,1.0441471808579859,0.3671875,0.43796845853823974,0.999,30/71,34.17%,TRIM21;NMI;LY6E;IFITM2;PSME2;OAS1;UBE2L6;IRF2;PSME1;PSMB8;CD47;ISG15;PSMA3;SAMD9L;IFI35;LGALS3BP;IFIT3;TAP1;CASP1;IFI44;IFITM3;STAT2;ISG20;MVB12A;TRIM5;CD74;PARP9;IFITM1;PARP12;UBA7
prerank,Estrogen Response Late,0.24020532888381416,1.0331557151671162,0.3742690058479532,0.4408537028513288,1.0,18/83,14.79%,ETFB;TST;PTPN6;CD9;FDFT1;SLC9A3R1;COX6C;TPSAB1;ADD3;ARL3;CCNA1;RAB31;TSTA3;ABHD2;SORD;IDH2;IMPA2;OPN3
prerank,IL-2/STAT5 Signaling,-0.22249972960192685,-1.01733348897157,0.40471512770137524,0.48517711376424283,0.999,20/113,15.77%,NFKBIZ;CD83;GADD45B;SELL;MAFF;NOP2;MXD1;KLF6;RABGAP1L;GABARAPL1;RHOH;ARL4A;SLC2A3;MAPKAPK2;NDRG1;SLC1A5;MAP3K8;P2RX4;SNX9;POU2F1
prerank,TGF-beta Signaling,0.2624483718114352,1.0012875256615643,0.42168674698795183,0.4881064331632417,1.0,9/43,11.76%,RHOA;FNTA;PPP1CA;HDAC1;FKBP1A;FURIN;TGFB1;RAB31;IFNGR2
prerank,Myogenesis,0.24088943011585615,0.9873348504750715,0.4896810506566604,0.4979392616732163,1.0,10/59,11.36%,CFD;TPM3;PDLIM7;FLII;CD36;PTP4A3;OCEL1;TGFB1;SYNGR2;FDPS
prerank,IL-6/JAK/STAT3 Signaling,-0.22601864040053352,-0.9323409681923814,0.6137787056367432,0.6596956987328217,1.0,6/57,5.10%,JUN;STAT3;IL6ST;CXCL3;SOCS3;CSF3R
prerank,Bile Acid Metabolism,-0.22864933774207608,-0.8959018931945508,0.6606060606060606,0.714663913039783,1.0,10/50,14.92%,PNPLA8;PEX1;ABCA5;PHYH;SLC23A2;LONP2;ACSL1;ATXN1;ABCA1;PEX26
prerank,Interferon Gamma Response,-0.17600069483419384,-0.8353210690933793,0.8663883089770354,0.8070230233803319,1.0,36/139,24.03%,TNFAIP3;BTG1;STAT3;SOD2;PTGS2;PDE4B;NFKBIA;PELI1;NAMPT;SOCS3;ST8SIA4;CD69;ARL4A;RNF213;JAK2;IRF9;TOR1B;NOD1;PTPN2;ADAR;IRF1;HIF1A;RIPK2;GCH1;IL10RA;AUTS2;CMTR1;CFH;ZNFX1;SOCS1;NLRC5;IFI30;ARID5B;EIF2AK2;OGFR;RAPGEF6
prerank,Notch Signaling,0.25091048785504255,0.7565719683809016,0.8285163776493256,0.9199593013396642,1.0,2/17,4.16%,RBX1;PSENEN
