Gene,Group,Mean_Expression_Rate,Std_Expression_Rate,Median_Expression_Rate,n_donors
CD9,NPM1 Mut - HSPC,8.617166780385434,6.144987172326585,7.6923076923076925,11
CD9,NPM1 Mut - LSPC,39.24496749495714,21.472646399109788,40.07625660198208,12
CD9,NPM1 WT - HSPC,11.417631065527265,12.949134497071986,7.646713615023474,20
CD9,NPM1 WT - LSPC,29.51384795504203,30.066090085893418,16.045751633986928,16
EMB,NPM1 Mut - HSPC,28.615753117019157,12.741786343160504,27.906976744186046,11
EMB,NPM1 Mut - LSPC,54.98099828789436,17.38032358626329,53.060072267389344,12
EMB,NPM1 WT - HSPC,18.8891639308914,11.871195408246827,16.485242440349634,20
EMB,NPM1 WT - LSPC,36.5314151770617,19.806703922864397,33.77275580665411,16
